name,username,email,city,company,name_length
Leanne Graham,Bret,sincere@april.biz,Gwenborough,Romaguera-Crona,13
Ervin Howell,Antonette,shanna@melissa.tv,Wisokyburgh,Deckow-Crist,12
Clementine Bauch,Samantha,nathan@yesenia.net,McKenziehaven,Romaguera-Jacobson,16
Patricia Lebsack,Karianne,julianne.oconner@kory.org,South Elvis,Robel-Corkery,16
Chelsey Dietrich,Kamren,lucio_hettinger@annie.ca,Roscoeview,Keebler LLC,16
Mrs. Dennis Schulist,Leopoldo_Corkery,karley_dach@jasper.info,South Christy,Considine-Lockman,20
Kurtis Weissnat,Elwyn.Skiles,telly.hoeger@billy.biz,Howemouth,Johns Group,15
Nicholas Runolfsdottir V,Maxime_Nienow,sherwood@rosamond.me,Aliyaview,Abernathy Group,24
Glenna Reichert,Delphine,chaim_mcdermott@dana.io,Bartholomebury,Yost and Sons,15
Clementina DuBuque,Moriah.Stanton,rey.padberg@karina.biz,Lebsackbury,Hoeger LLC,18
